Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
PRKCH		14q23.1	AMP	156	20261	0.8%	No
WDR62		19q13.12	AMP	494	20261	2.4%	No
RUNX1		21q22.12	HOMDEL	174	20261	0.9%	Yes
XRN1		3q23	AMP	259	20261	1.3%	No
LAMTOR2		1q22	HOMDEL	24	20261	0.1%	No
ANKRD62P1-PARP4P3		22q11.1	AMP	100	20261	0.5%	No
JAK2		9p24.1	AMP	398	20261	2.0%	Yes
POLQ		3q13.33	HOMDEL	109	20261	0.5%	Yes
KIF20B		10q23.31	AMP	48	20261	0.2%	No
TMEM14C		6p24.2	AMP	411	20261	2.0%	No
STK11		19p13.3	HOMDEL	530	20261	2.6%	Yes
TRAF5		1q32.3	AMP	468	20261	2.3%	Yes
DMD		Xp21.2-p21.1	AMP	548	20261	2.7%	No
ANAPC1		2q13	HOMDEL	42	20261	0.2%	No
CNTNAP4		16q23.1	AMP	121	20261	0.6%	No
EPHA2		1p36.13	HOMDEL	233	20261	1.1%	No
THSD7A		7p21.3	HOMDEL	90	20261	0.4%	No
LINC02350		12q24.32	HOMDEL	14	20261	<0.1%	No
AMPD1		1p13.2	AMP	150	20261	0.7%	No
GATAD2A		19p13.11	AMP	287	20261	1.4%	No
LINC00924		15q26.2	HOMDEL	102	20261	0.5%	No
PAK3		Xq23	HOMDEL	587	20261	2.9%	Yes
CEP350		1q25.2	HOMDEL	29	20261	0.1%	No
MBOAT2		2p25.1	AMP	154	20261	0.8%	No
BZW2		7p21.1	HOMDEL	86	20261	0.4%	No
SORCS3		10q25.1	HOMDEL	378	20261	1.9%	No
NTRK2		9q21.33	AMP	356	20261	1.8%	Yes
PTCHD1-AS		Xp22.11	AMP	324	20261	1.6%	No
JAK1		1p31.3	AMP	300	20261	1.5%	Yes
HHAT		1q32.2	HOMDEL	46	20261	0.2%	No
KBTBD4		11p11.2	AMP	118	20261	0.6%	Yes
SND1		7q32.1	AMP	576	20261	2.8%	Yes
WDR62		19q13.12	HOMDEL	132	20261	0.7%	No
GLRX5		14q32.13	AMP	128	20261	0.6%	No
LINC00299		2p25.1	AMP	383	20261	1.9%	No
IL36B		2q14.1	AMP	291	20261	1.4%	No
AP3B2		15q25.2	AMP	163	20261	0.8%	No
LTF		3p21.31	HOMDEL	252	20261	1.2%	No
GLI1		12q13.3	HOMDEL	142	20261	0.7%	Yes
NTRK1		1q23.1	AMP	1512	20261	7.5%	Yes
ALG5		13q13.3	AMP	109	20261	0.5%	No
NCOA3		20q13.12	HOMDEL	63	20261	0.3%	Yes
TMEM163		2q21.3	AMP	124	20261	0.6%	No
FGFR2		10q26.13	HOMDEL	833	20261	4.1%	Yes
HMCN1		1q25.3-q31.1	HOMDEL	30	20261	0.1%	No
NR6A1		9q33.3	AMP	415	20261	2.0%	No
DIS3		13q21.33	AMP	388	20261	1.9%	Yes
KMT2A		11q23.3	HOMDEL	414	20261	2.0%	Yes
BARD1		2q35	HOMDEL	163	20261	0.8%	Yes
SMO		7q32.1	HOMDEL	127	20261	0.6%	Yes
PARD6G		18q23	AMP	108	20261	0.5%	No
PMFBP1		16q22.2	HOMDEL	256	20261	1.3%	No
HIF1A		14q23.2	HOMDEL	432	20261	2.1%	Yes
NTHL1		16p13.3	AMP	419	20261	2.1%	Yes
GAN		16q23.2	HOMDEL	280	20261	1.4%	No
TNRC6B		22q13.1	HOMDEL	298	20261	1.5%	No
CSMD1		8p23.2	AMP	410	20261	2.0%	No
CREB5		7p15.1	AMP	1639	20261	8.1%	No
XBP1		22q12.1|22q12	AMP	386	20261	1.9%	Yes
SMARCB1		22q11.23|22q11	HOMDEL	685	20261	3.4%	Yes
IL1RAPL2		Xq22.3	AMP	49	20261	0.2%	No
MYC		8q24.21	AMP	2444	20261	12.1%	Yes
CPNE4		3q22.1	AMP	294	20261	1.5%	No
SLC35D1		1p31.3	HOMDEL	186	20261	0.9%	No
DEFB121		20q11.21	AMP	463	20261	2.3%	No
ERCC1		19q13.32	HOMDEL	255	20261	1.3%	Yes
GPD2		2q24.1	AMP	151	20261	0.7%	No
CCN6		6q21	HOMDEL	391	20261	1.9%	Yes
PLXNA4		7q32.3	AMP	1444	20261	7.1%	No
DIRC3		2q35	HOMDEL	89	20261	0.4%	No
CHEK1		11q24.2	HOMDEL	481	20261	2.4%	Yes
RPS6KA5		14q32.11	HOMDEL	443	20261	2.2%	No
ZNF275		Xq28	AMP	271	20261	1.3%	No
OLFML1		11p15.4	HOMDEL	212	20261	1.0%	No
GALNT12		9q22.33	AMP	194	20261	1.0%	No
STEAP1B		7p15.3	AMP	635	20261	3.1%	No
ATF7IP2		16p13.2-p13.13	AMP	173	20261	0.9%	No
ZRSR2		Xp22.2	HOMDEL	519	20261	2.6%	Yes
ANP32A		15q23	AMP	94	20261	0.5%	No
EWSR1		22q12.2	HOMDEL	722	20261	3.6%	Yes
SOCS1		16p13.13	HOMDEL	141	20261	0.7%	Yes
ASTN2		9q33.1	HOMDEL	366	20261	1.8%	No
USP49		6p21.1	HOMDEL	100	20261	0.5%	No
BRINP1		9q33.1	AMP	215	20261	1.1%	No
KRAS		12p12.1	AMP	786	20261	3.9%	Yes
NUAK1		12q23.3	AMP	380	20261	1.9%	No
KIF26B		1q44	HOMDEL	60	20261	0.3%	No
RPSAP52		12q14.3	AMP	271	20261	1.3%	No
SDHA		5p15.33	HOMDEL	135	20261	0.7%	Yes
KNDC1		10q26.3	AMP	89	20261	0.4%	No
OPCML		11q25	HOMDEL	292	20261	1.4%	No
ELMO1		7p14.2-p14.1	HOMDEL	80	20261	0.4%	No
DESI1		22q13.2	AMP	150	20261	0.7%	No
SEMA6D		15q21.1	HOMDEL	421	20261	2.1%	No
ACAP2		3q29	AMP	354	20261	1.7%	No
KIAA1217		10p12.2-p12.1	AMP	361	20261	1.8%	No
LIFR		5p13.1	AMP	372	20261	1.8%	Yes
MUC12		7q22.1	HOMDEL	76	20261	0.4%	No
ZMAT4		8p11.21	AMP	299	20261	1.5%	No
PRKCB		16p12.2-p12.1	HOMDEL	95	20261	0.5%	Yes
THTPA		14q11.2	HOMDEL	154	20261	0.8%	No
RBM11		21q11.2	HOMDEL	126	20261	0.6%	No
GNAS		20q13.32	AMP	1425	20261	7.0%	Yes
THOC5		22q12.2	AMP	228	20261	1.1%	No
ANKRD62P1-PARP4P3		22q11.1	HOMDEL	255	20261	1.3%	No
CAPZA2		7q31.2	HOMDEL	36	20261	0.2%	No
RAPGEF4		2q31.1	AMP	168	20261	0.8%	No
DDR2		1q23.3	HOMDEL	59	20261	0.3%	Yes
CHN2		7p14.3	HOMDEL	79	20261	0.4%	No
BSN		3p21.31	HOMDEL	273	20261	1.3%	No
LINC00536		8q23.3	AMP	618	20261	3.1%	No
CHL1		3p26.3	HOMDEL	220	20261	1.1%	No
THSD7A		7p21.3	AMP	957	20261	4.7%	No
STPG2		4q22.3-q23	AMP	47	20261	0.2%	No
PDPK1		16p13.3	HOMDEL	417	20261	2.1%	Yes
TOX		8q12.1	AMP	427	20261	2.1%	No
SRP19		5q22.2	HOMDEL	413	20261	2.0%	No
KCNQ2		20q13.33	HOMDEL	40	20261	0.2%	No
WDR3		1p12	HOMDEL	169	20261	0.8%	No
DEFB116		20q11.21	AMP	460	20261	2.3%	No
SDHAF2		11q12.2	AMP	156	20261	0.8%	Yes
KIAA1614		1q25.3	HOMDEL	32	20261	0.2%	No
BARD1		2q35	AMP	261	20261	1.3%	Yes
TPO		2p25.3	HOMDEL	131	20261	0.6%	No
SELP		1q24.2	AMP	847	20261	4.2%	No
CREB1		2q33.3	HOMDEL	134	20261	0.7%	Yes
SPATA13		13q12.12	AMP	225	20261	1.1%	No
ARMC12		6p21.31	AMP	387	20261	1.9%	No
EPHA7		6q16.1	AMP	280	20261	1.4%	Yes
EFNA5		5q21.3	AMP	196	20261	1.0%	No
FANCE		6p21.31	AMP	634	20261	3.1%	Yes
DUSP2		2q11.2	HOMDEL	58	20261	0.3%	Yes
PRPF8		17p13.3	HOMDEL	360	20261	1.8%	Yes
CNTNAP2		7q35-q36.1	HOMDEL	118	20261	0.6%	No
DICER1		14q32.13	HOMDEL	447	20261	2.2%	Yes
LYPD6B		2q23.2	HOMDEL	121	20261	0.6%	No
ATP8B1		18q21.31	AMP	214	20261	1.1%	No
MET		7q31.2	HOMDEL	106	20261	0.5%	Yes
ITGA9		3p22.2	AMP	204	20261	1.0%	No
MRPS18A		6p21.1	HOMDEL	105	20261	0.5%	No
PLEKHA5		12p12.3	HOMDEL	79	20261	0.4%	No
SVIL		10p11.23	AMP	153	20261	0.8%	No
C10ORF53		10q11.23	AMP	130	20261	0.6%	No
RAD51C		17q22	HOMDEL	123	20261	0.6%	Yes
XACT		Xq23	HOMDEL	191	20261	0.9%	No
FHIT		3p14.2	HOMDEL	251	20261	1.2%	Yes
PI4KA		22q11.21	HOMDEL	343	20261	1.7%	No
SMYD2		1q32.3	HOMDEL	94	20261	0.5%	No
GUCY2GP		10q25.2	AMP	102	20261	0.5%	No
NCOR1		17p12-p11.2	HOMDEL	601	20261	3.0%	Yes
SPRY1		4q28.1	AMP	66	20261	0.3%	No
BRIP1		17q23.2	HOMDEL	98	20261	0.5%	Yes
LINC00924		15q26.2	AMP	144	20261	0.7%	No
MBD2		18q21.2	AMP	211	20261	1.0%	No
DLEC1		3p22.2	HOMDEL	224	20261	1.1%	No
COL4A2		13q34	AMP	578	20261	2.9%	No
PRR16		5q23.1	AMP	123	20261	0.6%	No
FANCC		9q22.32	AMP	329	20261	1.6%	Yes
OGA		10q24.32	HOMDEL	442	20261	2.2%	No
ADRA1A		8p21.2	AMP	236	20261	1.2%	No
EDAR		2q13	AMP	121	20261	0.6%	No
RBFOX3		17q25.3	AMP	600	20261	3.0%	No
NUP107		12q15	AMP	328	20261	1.6%	No
ERC1		12p13.33	AMP	310	20261	1.5%	Yes
BCYRN1		2p21	HOMDEL	372	20261	1.8%	No
BACH2		6q15	AMP	104	20261	0.5%	Yes
PDCD1LG2		9p24.1	AMP	408	20261	2.0%	Yes
NTNG1		1p13.3	AMP	84	20261	0.4%	No
GLMN		1p22.1	AMP	161	20261	0.8%	No
LINC01568		16q22.3	HOMDEL	273	20261	1.3%	No
IRF4		6p25.3	HOMDEL	258	20261	1.3%	Yes
EPHA5		4q13.1-q13.2	AMP	203	20261	1.0%	Yes
FANCD2		3p25.3	AMP	190	20261	0.9%	Yes
CPA4		7q32.2	AMP	851	20261	4.2%	No
ERAP2		5q15	AMP	188	20261	0.9%	No
CRB1		1q31.3	HOMDEL	40	20261	0.2%	No
DDX24		14q32.12	HOMDEL	198	20261	1.0%	No
HPCAL1		2p25.1	AMP	158	20261	0.8%	No
CASC17		17q24.3	HOMDEL	43	20261	0.2%	No
CCND1		11q13.3	HOMDEL	224	20261	1.1%	Yes
A1CF		10q11.23	AMP	51	20261	0.3%	No
SORCS3		10q25.1	AMP	50	20261	0.2%	No
CDH13		16q23.3	HOMDEL	283	20261	1.4%	No
SUCLG2		3p14.1	AMP	83	20261	0.4%	No
TPK1		7q35	HOMDEL	57	20261	0.3%	No
XRN1		3q23	HOMDEL	94	20261	0.5%	No
AKAP6		14q12	AMP	397	20261	2.0%	No
RELN		7q22.1	HOMDEL	53	20261	0.3%	Yes
MLIP		6p12.1	HOMDEL	94	20261	0.5%	No
MYO5C		15q21.2	HOMDEL	174	20261	0.9%	No
PCLO		7q21.11	AMP	599	20261	3.0%	Yes
BHLHB9		Xq22.1	HOMDEL	384	20261	1.9%	No
LINC01250		2p25.3	AMP	151	20261	0.7%	No
SUZ12		17q11.2	HOMDEL	252	20261	1.2%	Yes
ANXA11		10q22.3	HOMDEL	418	20261	2.1%	No
CARD11		7p22.2	AMP	1553	20261	7.7%	Yes
CLCC1		1p13.3	HOMDEL	212	20261	1.0%	No
PXDNL		8q11.22-q11.23	HOMDEL	60	20261	0.3%	No
EPHA3		3p11.1	AMP	250	20261	1.2%	Yes
FANCA		16q24.3	AMP	594	20261	2.9%	Yes
MTSS1		8q24.13	HOMDEL	62	20261	0.3%	No
MAP4		3p21.31	AMP	256	20261	1.3%	No
CAP1		1p34.2	HOMDEL	159	20261	0.8%	No
KCNN3		1q21.3	HOMDEL	18	20261	<0.1%	No
EPHB4		7q22.1	HOMDEL	71	20261	0.4%	Yes
COL2A1		12q13.11	AMP	528	20261	2.6%	Yes
KIF16B		20p12.1	HOMDEL	101	20261	0.5%	No
COL23A1		5q35.3	AMP	327	20261	1.6%	No
RSPO3		6q22.33	AMP	271	20261	1.3%	Yes
LRRIQ1		12q21.31	HOMDEL	75	20261	0.4%	No
SDHAF2		11q12.2	HOMDEL	106	20261	0.5%	Yes
ARMC12		6p21.31	HOMDEL	88	20261	0.4%	No
SPIN3		Xp11.21	HOMDEL	469	20261	2.3%	No
JAK1		1p31.3	HOMDEL	506	20261	2.5%	Yes
PALLD		4q32.3	HOMDEL	177	20261	0.9%	No
TRPV3		17p13.2	HOMDEL	372	20261	1.8%	No
SLC35F1		6q22.2-q22.31	AMP	64	20261	0.3%	No
CECR2		22q11.1-q11.21	AMP	115	20261	0.6%	No
FBXW7		4q31.3	AMP	205	20261	1.0%	Yes
SPRY2		13q31.1	AMP	390	20261	1.9%	No
NF2		22q12.2	HOMDEL	704	20261	3.5%	Yes
DEFB128		20p13	AMP	476	20261	2.3%	No
PDE8A		15q25.3	HOMDEL	155	20261	0.8%	No
CYFIP2		5q33.3	HOMDEL	148	20261	0.7%	No
DCT		13q32.1	AMP	292	20261	1.4%	No
GUSBP11		22q11.23	HOMDEL	284	20261	1.4%	No
MAP1LC3B2		12q24.22	HOMDEL	71	20261	0.4%	No
APBB2		4p14-p13	AMP	145	20261	0.7%	No
SEMA5A		5p15.31	AMP	762	20261	3.8%	No
RPTOR		17q25.3	HOMDEL	189	20261	0.9%	Yes
ERI1		8p23.1	AMP	248	20261	1.2%	No
MIR548N		7p14.2	AMP	110	20261	0.5%	No
LYZL1		10p12.1-p11.23	AMP	205	20261	1.0%	No
LINC00491		5q21.1	HOMDEL	129	20261	0.6%	No
LINC01510		7q31.2	HOMDEL	32	20261	0.2%	No
CNDP1		18q22.3	HOMDEL	357	20261	1.8%	No
STAM2		2q23.3	AMP	115	20261	0.6%	No
NTRK1		1q23.1	HOMDEL	114	20261	0.6%	Yes
ATF7		12q13.13	AMP	237	20261	1.2%	No
APC		5q22.2	HOMDEL	678	20261	3.3%	Yes
SQLE		8q24.13	AMP	659	20261	3.3%	No
LRRC8B		1p22.2	HOMDEL	217	20261	1.1%	No
STK11		19p13.3	AMP	643	20261	3.2%	Yes
CKM		19q13.32	AMP	236	20261	1.2%	No
SPOCK3		4q32.3	HOMDEL	404	20261	2.0%	No
NELL2		12q12	AMP	453	20261	2.2%	No
SMPD3		16q22.1	AMP	225	20261	1.1%	No
HMGA2		12q14.3	AMP	765	20261	3.8%	Yes
APC		5q22.2	AMP	316	20261	1.6%	Yes
MAP2K2		19p13.3	HOMDEL	405	20261	2.0%	Yes
SPTLC2		14q24.3	AMP	115	20261	0.6%	No
ETV3		1q23.1	HOMDEL	38	20261	0.2%	No
POU6F1		12q13.13	AMP	312	20261	1.5%	No
CACNA1A		19p13.13	HOMDEL	269	20261	1.3%	No
CDK9		9q34.11	AMP	254	20261	1.3%	No
CAMTA1		1p36.31-p36.23	AMP	154	20261	0.8%	Yes
SHISA9		16p13.12	HOMDEL	84	20261	0.4%	No
LRPPRC		2p21	AMP	225	20261	1.1%	No
ERRFI1		1p36.23	HOMDEL	688	20261	3.4%	Yes
SOX9		17q24.3	AMP	1027	20261	5.1%	Yes
CCND2		12p13.32	AMP	769	20261	3.8%	Yes
CDKN1A		6p21.2	AMP	636	20261	3.1%	Yes
ZNHIT3		17q12	HOMDEL	124	20261	0.6%	No
TANGO6		16q22.1	AMP	385	20261	1.9%	No
RALGPS1		9q33.3	AMP	215	20261	1.1%	No
FLI1		11q24.3	HOMDEL	280	20261	1.4%	Yes
PRDM16		1p36.32	HOMDEL	853	20261	4.2%	Yes
RIMS2		8q22.3	HOMDEL	34	20261	0.2%	No
SHROOM3		4q21.1	HOMDEL	177	20261	0.9%	No
USP30		12q24.11	AMP	166	20261	0.8%	No
CDKN2B		9p21.3	HOMDEL	2546	20261	12.6%	Yes
ITGB5		3q21.2	HOMDEL	234	20261	1.2%	No
LIPC		15q21.3	AMP	100	20261	0.5%	No
ADGRB3		6q12-q13	HOMDEL	244	20261	1.2%	No
WDR49		3q26.1	AMP	547	20261	2.7%	No
LINC01090		2q32.1	HOMDEL	45	20261	0.2%	No
EPCAM		2p21	HOMDEL	322	20261	1.6%	Yes
BCOR		Xp11.4	AMP	332	20261	1.6%	Yes
SOX10		22q13.1	AMP	188	20261	0.9%	Yes
ADAMTS17		15q26.3	AMP	140	20261	0.7%	No
FOSB		19q13.32	AMP	415	20261	2.0%	No
IL2RB		22q12.3	HOMDEL	348	20261	1.7%	No
ADGB		6q24.3	AMP	83	20261	0.4%	No
DRG2		17p11.2	AMP	106	20261	0.5%	No
HS3ST3A1		17p12	AMP	82	20261	0.4%	No
MAP2K4		17p12	HOMDEL	673	20261	3.3%	Yes
GMDS		6p25.3	HOMDEL	122	20261	0.6%	No
PLCB4		20p12.3-p12.2	AMP	797	20261	3.9%	No
IPMK		10q21.1	AMP	186	20261	0.9%	No
SH3PXD2B		5q35.1	AMP	286	20261	1.4%	No
RASA1		5q14.3	HOMDEL	381	20261	1.9%	Yes
TANC2		17q23.2-q23.3	AMP	388	20261	1.9%	No
DIP2B		12q13.12	AMP	348	20261	1.7%	No
CCND3		6p21.1	AMP	766	20261	3.8%	Yes
PALD1		10q22.1	HOMDEL	401	20261	2.0%	No
LMAN1L		15q24.1	AMP	129	20261	0.6%	No
CDK19		6q21	HOMDEL	275	20261	1.4%	No
ZBTB16		11q23.2	HOMDEL	224	20261	1.1%	Yes
SERINC5		5q14.1	AMP	111	20261	0.5%	No
ESRRG		1q41	HOMDEL	55	20261	0.3%	No
TULP3		12p13.33	HOMDEL	71	20261	0.4%	No
KAT6A		8p11.21	AMP	1040	20261	5.1%	Yes
ISX-AS1		22q12.3	HOMDEL	423	20261	2.1%	No
CDK8		13q12.13	AMP	348	20261	1.7%	Yes
PDE6C		10q23.33	HOMDEL	456	20261	2.3%	No
CUX2		12q24.11-q24.12	HOMDEL	139	20261	0.7%	No
CASC15		6p22.3	HOMDEL	88	20261	0.4%	No
PCAT19		19q13.2	AMP	173	20261	0.9%	No
ITGAV		2q32.1	AMP	149	20261	0.7%	No
LINGO2		9p21.2-p21.1	AMP	344	20261	1.7%	No
SLX4IP		20p12.2	AMP	325	20261	1.6%	No
NBAS		2p24.3	AMP	245	20261	1.2%	No
DLEU1		13q14.2-q14.3	AMP	105	20261	0.5%	No
GRID2		4q22.1-q22.2	HOMDEL	212	20261	1.0%	No
NCOA1		2p23.3	HOMDEL	66	20261	0.3%	Yes
FAM172A		5q15	AMP	116	20261	0.6%	No
NBEA		13q13.3	HOMDEL	282	20261	1.4%	No
MUC16		19p13.2	AMP	432	20261	2.1%	No
PLCL1		2q33.1	AMP	167	20261	0.8%	No
PTPN1		20q13.13	AMP	1365	20261	6.7%	Yes
ARSG		17q24.2	AMP	392	20261	1.9%	No
C1ORF198		1q42.2	HOMDEL	55	20261	0.3%	No
LINC00373		13q31.2	AMP	273	20261	1.3%	No
ITGA9		3p22.2	HOMDEL	414	20261	2.0%	No
CDK6		7q21.2	AMP	1516	20261	7.5%	Yes
TP63		3q28	AMP	557	20261	2.7%	Yes
NR1H4		12q23.1	HOMDEL	97	20261	0.5%	No
RORA		15q22.2	HOMDEL	300	20261	1.5%	No
CCNE1		19q12	AMP	910	20261	4.5%	Yes
SLC6A6		3p25.1	AMP	144	20261	0.7%	No
CA6		1p36.23	AMP	156	20261	0.8%	No
SPRY1		4q28.1	HOMDEL	137	20261	0.7%	No
NSRP1		17q11.2	AMP	219	20261	1.1%	No
HDX		Xq21.1	AMP	159	20261	0.8%	No
FOS		14q24.3	AMP	327	20261	1.6%	No
FPGT-TNNI3K		1p31.1	AMP	89	20261	0.4%	No
VHL		3p25.3	AMP	327	20261	1.6%	Yes
EPB41L4B		9q31.3	HOMDEL	181	20261	0.9%	No
PPARG		3p25.2	AMP	176	20261	0.9%	Yes
BLOC1S5-TXNDC5		6p24.3	AMP	406	20261	2.0%	No
LINC01616		11p14.1	HOMDEL	164	20261	0.8%	No
SLC9A9		3q24	HOMDEL	113	20261	0.6%	No
OR2C1		16p13.3	HOMDEL	155	20261	0.8%	No
DAB2IP		9q33.2	AMP	147	20261	0.7%	No
SELP		1q24.2	HOMDEL	31	20261	0.2%	No
CCNF		16p13.3	AMP	336	20261	1.7%	No
FRY		13q13.1	AMP	130	20261	0.6%	No
CDH19		18q22.1	AMP	207	20261	1.0%	No
H3F3B		17q25.1	HOMDEL	45	20261	0.2%	Yes
EPHB1		3q22.2	AMP	533	20261	2.6%	Yes
LRRC38		1p36.21	AMP	125	20261	0.6%	No
FCRL1		1q23.1	AMP	966	20261	4.8%	No
IL19		1q32.1	HOMDEL	37	20261	0.2%	No
AJUBA		14q11.2	HOMDEL	356	20261	1.8%	Yes
TBC1D4		13q22.2	HOMDEL	354	20261	1.7%	No
TPT1-AS1		13q14.13	HOMDEL	400	20261	2.0%	No
MYCNOS		2p24.3	HOMDEL	99	20261	0.5%	No
SORCS1		10q25.1	AMP	84	20261	0.4%	No
GASK1A		3p22.1	HOMDEL	230	20261	1.1%	No
EIF1AX		Xp22.12	HOMDEL	523	20261	2.6%	Yes
PLCG2		16q23.3	AMP	133	20261	0.7%	Yes
AHCYL2		7q32.1	HOMDEL	38	20261	0.2%	No
IDH1		2q34	HOMDEL	134	20261	0.7%	Yes
PRUNE2		9q21.2	AMP	283	20261	1.4%	No
CLDN18		3q22.3	HOMDEL	222	20261	1.1%	No
STK4		20q13.12	HOMDEL	37	20261	0.2%	No
PXYLP1		3q23	AMP	256	20261	1.3%	No
SLC25A28		10q24.2	AMP	92	20261	0.5%	No
OR5L1		11q12.1	HOMDEL	205	20261	1.0%	No
OR4N2		14q11.2	HOMDEL	394	20261	1.9%	No
KCNIP4		4p15.31-p15.2	HOMDEL	354	20261	1.7%	No
CD99L2		Xq28	HOMDEL	383	20261	1.9%	No
CCDC6		10q21.2	HOMDEL	385	20261	1.9%	Yes
PKD1L3		16q22.2	HOMDEL	212	20261	1.0%	No
COL4A4		2q36.3	AMP	117	20261	0.6%	No
ADGRL2		1p31.1	AMP	117	20261	0.6%	No
PHF8		Xp11.22	AMP	88	20261	0.4%	No
SPATA13		13q12.12	HOMDEL	270	20261	1.3%	No
LINC01638		22q12.1	HOMDEL	422	20261	2.1%	No
ZFHX4		8q21.13	HOMDEL	166	20261	0.8%	No
SRC		20q11.23	HOMDEL	117	20261	0.6%	Yes
IDH2		15q26.1	AMP	418	20261	2.1%	Yes
MAGEB10		Xp21.3	HOMDEL	170	20261	0.8%	No
SULF1		8q13.2-q13.3	HOMDEL	39	20261	0.2%	No
TCP11L1		11p13	AMP	150	20261	0.7%	No
DNHD1		11p15.4	AMP	100	20261	0.5%	No
FUBP1		1p31.1	AMP	244	20261	1.2%	Yes
IDH2		15q26.1	HOMDEL	239	20261	1.2%	Yes
TRAF3		14q32.32	HOMDEL	493	20261	2.4%	Yes
ANO1		11q13.3	HOMDEL	111	20261	0.5%	No
CYFIP2		5q33.3	AMP	232	20261	1.1%	No
C17ORF99		17q25.3	HOMDEL	46	20261	0.2%	No
NELL2		12q12	HOMDEL	169	20261	0.8%	No
IKBKE		1q32.1	AMP	1329	20261	6.6%	Yes
MGA		15q15.1	AMP	157	20261	0.8%	Yes
TMPRSS2		21q22.3	AMP	622	20261	3.1%	Yes
IDH1		2q34	AMP	283	20261	1.4%	Yes
ARAP2		4p14	AMP	137	20261	0.7%	No
TSHZ1		18q22.3	HOMDEL	365	20261	1.8%	No
DAAM1		14q23.1	AMP	170	20261	0.8%	No
LINC01164		10q26.3	AMP	124	20261	0.6%	No
HNRNPK		9q21.32	AMP	200	20261	1.0%	No
JARID2		6p22.3	AMP	421	20261	2.1%	Yes
MSH3		5q14.1	HOMDEL	319	20261	1.6%	Yes
MYD88		3p22.2	AMP	205	20261	1.0%	Yes
ANXA3		4q21.21	HOMDEL	136	20261	0.7%	No
DMRT1		9p24.3	AMP	250	20261	1.2%	No
SFMBT2		10p14	HOMDEL	374	20261	1.8%	No
CDK4		12q14.1	AMP	1192	20261	5.9%	Yes
ACTN4		19q13.2	HOMDEL	151	20261	0.7%	No
DHFR		5q14.1	HOMDEL	135	20261	0.7%	No
YAP1		11q22.1	HOMDEL	382	20261	1.9%	Yes
STK33		11p15.4	AMP	98	20261	0.5%	No
ZNF385D		3p24.3	AMP	103	20261	0.5%	No
MIR512-2		19q13.42	AMP	650	20261	3.2%	No
SAMD9		7q21.2	AMP	745	20261	3.7%	Yes
AXIN2		17q24.1	AMP	991	20261	4.9%	Yes
CADM2		3p12.1	AMP	89	20261	0.4%	No
ATRX		Xq21.1	HOMDEL	598	20261	3.0%	Yes
RCSD1		1q24.2	AMP	857	20261	4.2%	No
MGLL		3q21.3	HOMDEL	146	20261	0.7%	No
KMT2C		7q36.1	AMP	1451	20261	7.2%	Yes
DIS3L2		2q37.1	AMP	127	20261	0.6%	No
OR51B5		11p15.4	HOMDEL	236	20261	1.2%	No
NPSR1-AS1		7p14.3	HOMDEL	77	20261	0.4%	No
FUS		16p11.2	AMP	540	20261	2.7%	Yes
NECTIN1		11q23.3	AMP	165	20261	0.8%	No
TSC1		9q34.13	AMP	392	20261	1.9%	Yes
BIK		22q13.2	AMP	120	20261	0.6%	No
DGKH		13q14.11	HOMDEL	339	20261	1.7%	No
STRBP		9q33.3	AMP	181	20261	0.9%	No
AMMECR1		Xq23	HOMDEL	384	20261	1.9%	No
DYM		18q21.1	AMP	103	20261	0.5%	No
PDGFB		22q13.1	AMP	348	20261	1.7%	Yes
PIK3C2G		12p12.3	AMP	381	20261	1.9%	Yes
PPP1R16B		20q11.23	HOMDEL	83	20261	0.4%	No
MYCN		2p24.3	AMP	464	20261	2.3%	Yes
PRKDC		8q11.21	AMP	1309	20261	6.5%	Yes
AXIN1		16p13.3	AMP	667	20261	3.3%	Yes
TMEM132D		12q24.33	HOMDEL	118	20261	0.6%	No
RAF1		3p25.2	HOMDEL	385	20261	1.9%	Yes
ST3GAL3		1p34.1	AMP	184	20261	0.9%	No
AURKA		20q13.2	AMP	1366	20261	6.7%	Yes
LINC00639		14q21.1	AMP	236	20261	1.2%	No
TSC2		16p13.3	AMP	810	20261	4.0%	Yes
SLC1A1		9p24.2	HOMDEL	367	20261	1.8%	No
PRDM1		6q21	AMP	278	20261	1.4%	Yes
UMODL1		21q22.3	AMP	550	20261	2.7%	No
ADAMTS19		5q23.3	AMP	127	20261	0.6%	No
PDGFRA		4q12	AMP	569	20261	2.8%	Yes
DPAGT1		11q23.3	HOMDEL	221	20261	1.1%	No
NELL1		11p15.1	AMP	195	20261	1.0%	No
PRKG1		10q11.23-q21.1	AMP	126	20261	0.6%	No
LNCOC1		8q24.3	HOMDEL	81	20261	0.4%	No
TNR		1q25.1	HOMDEL	57	20261	0.3%	No
LAMTOR2		1q22	AMP	709	20261	3.5%	No
PLBD1		12p13.1	AMP	373	20261	1.8%	No
NSUN3		3q11.2	HOMDEL	122	20261	0.6%	No
HDAC2-AS2		6q21-q22.1	HOMDEL	400	20261	2.0%	No
FAM155A		13q33.3	AMP	496	20261	2.4%	No
FGF10		5p12	HOMDEL	82	20261	0.4%	Yes
KHDRBS2		6q11.1	HOMDEL	186	20261	0.9%	No
RUNX1T1		8q21.3	HOMDEL	111	20261	0.5%	Yes
